connectorType,durationSession,durationCharge,energy,cost,tariff,meanPower,maxPower,anomaly
1.9300003,0.23000002,0.23000002,6.9279995,8.88,0.07,22.79,50.07,1
2.9300003,6.63,1.4300003,112.34996,17.119999,0.22,74.87696,150.07004,1
2.0699997,0.5799997,0.21000001,7.68,-0.07,-0.07,27.109001,50.07,1
1.9300003,0.9779999,1.0619998,30.527,0.07,-0.07,11.528,50.07,1
0.07,15.76,15.91,39.42,-0.07,-0.07,2.5539997,6.9300003,1
2.0699997,0.5420002,0.5660002,3.1940002,0.07,-0.07,6.443,49.93,1
1.9300003,0.56400007,0.6300003,12.442,2.6750002,0.15012832,22.338,50.07,1
1.0699997,1.6600003,1.6600003,1.5839998,6.0000005,1.0999997,3.3350003,6.9300003,1
0.0,4.5,4.49,21.78,4.453,0.20445363,23.127,7.0,1
1.9300003,0.25,0.5799997,5.28,0.07,-0.07,8.301,50.07,1
1.9580002,0.64400005,0.7100003,15.676,3.2606003,0.14227535,24.572,50.056,1
-0.07,0.32,0.6799997,4.9700003,1.4607997,0.20595238,6.7899995,22.07,1
1.9300003,0.5999997,0.5999997,3.3459997,4.2100005,0.54000014,13.529,49.93,1
-0.07,0.78000027,0.6399997,6.3489995,2.6018002,0.25312543,20.479,21.93,1
2.0,0.0,0.0,9.83,2.257,0.22960326,-16.893,50.0,1
0.0,19.2,0.36,26.49,5.307,0.20033975,73.583,22.0,1
1.9300003,0.39,0.39,47.767002,1.3299997,0.14,18.536,50.07,1
0.07,11.41,11.458,21.078001,17.882,0.9133715,1.7670003,21.93,1
0.9299997,18.69,18.550001,0.07,0.07,0.45999986,0.07,7.0699997,1
1.0,23.27,23.27,23.03,15.66,0.68,24.64,7.0,1
2.0699997,0.32,0.358,9.696,0.028,-0.07,29.452,49.986,1
1.9300003,0.48999998,0.48800004,7.26,1.7356004,0.17633016,16.005001,50.07,1
0.0,9.04,29.38,21.65,3.965,0.18314087,2.395,22.0,1
1.9300003,0.5799997,0.5799997,8.719999,7.4700003,0.07,13.238,50.028,1
1.0,4.55,4.55,1.77,0.0,0.0,-21.315,22.0,1
2.0,1.02,1.02,16.084,2.79,0.17,-25.493,50.0,1
1.9300003,0.4,0.4,13.849999,3.0449998,0.28690857,59.619,50.07,1
2.0699997,0.089999996,0.084,0.07,0.07,0.07,-0.07,49.93,1
0.9579998,35.85,35.71,15.52,0.9400003,0.10000001,0.506,21.986,1
0.9299997,0.81400007,0.81400007,6.0099998,1.3399997,0.182,7.3550005,7.0699997,1
1.9300003,5.5800004,2.0999997,22.61,0.07,-0.07,11.242,50.07,1
0.0,13.45,118.0,20.1,4.148,0.20636816,0.17,22.0,1
1.9860001,2.2200003,0.5700003,17.289999,-0.07,0.07,34.37,49.93,1
2.0,1.0,4.67,21.56,7.0394,0.32650277,21.347,50.0,1
1.9300003,0.42,0.42,41.387,1.7047997,0.11306831,25.584,50.07,1
0.9299997,17.52,17.380001,10.78,9.89,1.0000002,12.308001,7.0699997,1
2.0,0.37,0.37,6.013,1.28,0.21,-23.949,50.0,1
0.07,4.38,4.5299997,21.044,0.07,-0.07,4.8009996,22.0,1
2.0,0.48,0.48,13.37,0.0,0.0,-38.284,50.0,1
2.0699997,0.8860002,0.91000026,17.42,5.865,0.26133218,20.890999,49.93,1
1.0,2.63,2.63,1.58,0.0,0.0,18.57,7.0,1
2.0419998,0.099999994,0.37,0.50799984,0.58920014,1.0623635,1.1800003,50.07,1
2.0699997,0.072,0.10999999,1.0920001,0.028,-0.07,28.07,49.93,1
0.9299997,4.7500005,4.7500005,0.7450003,-0.07,0.07,1.8080003,6.9300003,1
1.9300003,0.19,0.52000004,13.279,2.3100004,0.110000014,29.734,50.07,1
2.0699997,0.22,0.4799998,3.5679996,-0.055999998,-9.313226e-10,23.25,49.93,1
0.9299997,3.9699998,3.8300004,31.0,3.8399997,0.46999988,1.8619998,7.0699997,1
1.9300003,0.8739998,0.94400007,17.88,19.33,0.07,19.081,49.93,1
2.9300003,1.4699997,1.4599997,100.81996,2.1200004,0.11755279,72.65304,150.07004,1
2.0,0.85,0.84,27.31,5.4656,0.20013182,67.182,50.0,1
1.0,3.3,12.13,4.82,0.0,0.0,1.461,7.0,1
2.0,0.22,0.22,8.3,1.9886,0.23959036,-8.903,50.0,1
2.0699997,0.14,0.089999996,0.6999997,0.5900003,0.7500003,11.07,49.93,1
1.9300003,0.28,0.28,11.243,7.9700003,0.7900003,52.485,50.07,1
1.9300003,2.2999997,2.1600003,45.05,-0.07,0.07,60.383,50.07,1
1.0,0.03,0.03,7.936,0.0,0.0,264.533,22.0,1
0.0,2.68,2.69,10.05,0.0,0.0,25.615,7.0,1
2.0699997,0.85600024,0.8800003,5.7100005,1.4550003,0.19384083,7.206,50.07,1
1.9300003,0.25,0.25,5.0129995,1.0500003,0.3,54.366,50.07,1
1.9300003,1.6699997,0.33,11.361,2.0000002,0.25,28.157,49.93,1
1.9300003,1.4999996,3.1200004,33.25,-0.07,-0.07,10.331,50.07,1
1.9720001,0.99999994,1.0699997,28.550001,2.0199997,0.09,28.69,49.93,1
-0.07,69.94004,69.799965,50.076,1.4973997,0.20188573,0.145,21.93,1
-0.07,0.25,0.5099997,0.93999976,0.7166003,0.5701977,1.6710004,22.07,1
2.0699997,0.25,0.26,7.11,2.7295997,0.30041784,37.859,49.93,1
0.9299997,2.12,2.1899996,14.79,2.6139998,0.128,6.939,7.0699997,1
1.9300003,0.7500003,0.7500003,83.05696,-0.07,-0.07,42.607998,50.07,1
1.9300003,0.8799997,0.20000002,10.059999,3.4436004,0.4217117,36.93,49.93,1
1.0,3.27,8.85,5.51,4.24,0.77,0.623,7.0,1
2.0,0.77,0.77,4.0,1.1956,0.2989,-26.203,50.0,1
2.0699997,0.42,1.0100003,12.009999,9.313226e-10,-0.07,34.044,49.93,1
1.9300003,0.24,0.42,14.142,4.62,0.25,40.676,49.93,1
2.0699997,0.20000002,0.20000002,1.7579997,-0.07,0.07,17.597,50.042,1
-0.07,17.52,17.39,19.05,3.8706002,0.27761856,14.019,7.0699997,1
2.0279999,3.2500002,0.9299997,29.058,4.65,0.22999999,28.918001,49.958,1
0.07,2.502,2.5679998,8.92,2.1805997,0.16477197,3.6089997,7.0699997,1
0.07,17.039999,16.91,25.68,5.0784,0.27103084,1.5779997,21.93,1
1.9300003,0.18,0.18,8.377999,6.8300004,0.9000003,65.69796,50.07,1
2.0,0.97,0.96,23.72,4.8068,0.20264755,-41.412,50.0,1
1.9300003,0.5500002,0.5500002,9.0,0.13,0.120000005,18.966,49.972,1
2.0699997,0.5499997,0.5399997,0.94700027,-0.07,-9.313226e-10,21.028,49.93,1
2.0,0.43,0.43,10.834,0.0,0.0,65.38,50.0,1
0.9299997,1.3100003,0.45,0.028,0.07,0.7699997,-0.07,7.0699997,1
1.9300003,0.72000027,0.72000027,16.36,0.009999998,0.14088254,25.347,50.028,1
1.0,16.27,16.27,6.78,0.0,0.0,22.18,7.0,1
2.0,0.83,9.04,24.0,-0.16,0.20231667,2.655,50.0,1
1.0,3.99,9.23,7.06,1.48,0.21,0.765,7.0,1
2.0,0.63,0.63,17.175,2.95,0.17,65.229,50.0,1
1.9300003,0.29,0.61600024,4.2000003,1.2304001,0.22142857,7.639,50.07,1
1.9300003,0.19,0.5,14.22,3.0044003,0.14514346,33.303,50.07,1
1.9300003,0.14,0.14,21.176,2.0999997,0.7299997,36.356,49.93,1
1.9440002,0.14999999,0.14999999,1.5140003,-0.010000004,0.32,19.869999,50.07,1
1.9860001,1.0419998,1.0799997,25.084,5.0350003,0.13139221,24.961,49.944,1
1.0,9.35,9.35,6.5,28.3,0.0,0.695,7.0,1
2.0699997,0.29,0.29,8.570001,0.8600003,0.16722223,39.343,49.944,1
1.9300003,0.4,0.4,4.057,0.10999999,0.17,12.575999,50.07,1
2.0279999,0.7599997,0.7599997,13.19,7.4500003,0.07,15.737,50.07,1
1.0139999,5.3399997,5.2000003,0.07,0.07,0.07,-0.07,7.0699997,1
2.9300003,2.0300002,2.0200002,262.3299,80.52904,0.37679097,167.62396,150.07004,1
0.9299997,17.66,5.0499997,0.07,0.07,0.07,-0.07,7.0699997,1
0.9299997,2.3800004,0.8000003,8.650001,0.07,-0.07,3.6289997,7.0699997,1
1.9300003,0.60000026,2.3500004,11.518,13.1,1.2199997,21.53,49.93,1
-0.07,0.9600003,2.7400002,8.92,14.9296,1.7229029,3.1290002,22.07,1
2.0,0.55,0.55,7.37,6.85,0.93,-29.11,50.0,1
1.9300003,0.47,0.45999998,22.618,2.1439996,0.16648804,22.557,50.07,1
2.0,0.33,0.33,11.892,2.16,0.18,-47.366,50.0,1
2.0559998,0.19999999,0.12,4.2400002,2.1399996,0.41,33.224,49.93,1
1.9860001,0.35,0.35,9.87,0.3,0.110000014,35.57,49.944,1
-0.07,2.7499998,2.7499998,31.75,4.18,0.1884161,11.943,21.93,1
0.9299997,68.32996,68.47004,16.0,27.42,0.07,0.163,22.07,1
1.9300003,0.25,0.25,9.938,3.3299997,0.4,65.48796,50.07,1
0.9299997,0.422,0.436,7.1660004,0.3,0.120000005,3.2459998,6.9300003,1
1.9300003,0.794,0.8600003,14.150001,2.9922004,0.14534459,18.07,50.07,1
1.9300003,0.6400003,1.0200003,22.99,0.07,-0.07,21.226,49.93,1
2.0,0.75,0.76,17.08,3.5868,0.21,-7.923,50.0,1
0.9299997,0.52000004,0.8299997,5.9500003,1.3499997,0.14,6.6190004,7.0699997,1
1.9300003,0.5,0.51000005,19.608,3.9926004,0.1367481,44.729,49.972,1
2.0,0.47799993,0.53,12.712,9.313226e-10,-0.07,23.878,50.042,1
-0.07,0.7900003,2.4000003,28.23,-0.07,0.042,11.471,22.07,1
0.9299997,16.48,16.619999,4.976,13.26,1.1199996,0.6969997,7.0699997,1
1.9300003,0.5499997,0.5499997,12.92,-0.07,0.07,60.766,50.07,1
2.0279999,0.39,0.8099997,10.370999,-0.07,-0.07,32.121002,49.93,1
1.9300003,0.7500003,0.8599997,10.450001,2.3212004,0.15730038,11.382,50.07,1
2.0699997,1.0279999,1.0799997,23.344,4.7038,0.13281198,23.237999,49.944,1
3.0,1.48,0.23,190.67,35.3556,0.18542823,353.093,150.0,1
2.9300003,0.9000003,1.7300003,228.38004,70.03116,0.26504394,126.909035,149.92996,1
2.014,1.0559998,1.0799997,28.880001,5.7584,0.12890847,28.733,49.93,1
1.9300003,0.5700003,0.5700003,26.644001,10.49,0.96999997,20.114,49.93,1
1.9300003,0.53599995,0.55,3.7199998,3.7486002,0.2530585,37.857,49.93,1
2.0,0.78,0.04,13.47,2.928,0.21737194,336.75,50.0,1
2.0,0.07,0.07,0.925,0.51,0.55,68.749,50.0,1
0.9299997,2.5800004,2.5800004,141.60304,6.09,0.37,7.817,22.07,1
0.07,0.64400005,0.6960002,4.07,1.2899997,0.224686,6.5389996,22.07,1
-0.07,20.49,6.0299997,16.130001,3.0345998,0.113000005,0.8630003,7.0699997,1
1.9300003,0.5700003,0.5700003,57.135002,0.07,-0.07,45.13,49.93,1
1.0,1.1,1.1,7.276,6.11,0.84,39.659,22.0,1
-0.07,2.3999996,0.66000026,9.110001,0.07,-0.07,3.9929998,22.07,1
1.9300003,0.060000002,0.060000002,0.506,-0.07,0.07,30.468,50.07,1
0.07,1.008,1.0419998,3.6100004,1.2045997,0.23831522,3.7499998,7.042,1
1.0,4.2,17.17,32.25,0.0,0.0,7.679,7.0,1
1.9300003,1.0699997,1.0799997,33.18,6.5934,0.12703459,32.991,49.93,1
2.0699997,0.8200003,0.8100003,17.78,1.8999997,0.13914287,24.192,49.93,1
1.9300003,0.512,0.5500002,7.9820004,1.8576003,0.1706492,16.744,50.07,1
1.9300003,0.16000001,0.16000001,9.809999,1.7700003,0.26,61.408,50.07,1
1.9300003,4.6099997,0.86799985,17.5,3.1946,0.25334856,19.245,49.986,1
1.9300003,0.8700003,0.42,17.300001,0.07,-0.07,21.782,50.028,1
1.0,0.87,0.87,1.66,0.35,0.21,17.687,7.0,1
0.9299997,2.9000003,1.4799997,10.4800005,0.07,-0.07,3.6219997,7.0699997,1
1.9300003,0.3,0.14,10.66,0.07,-0.07,46.722,50.014,1
3.0699997,0.099999994,0.12,3.9100003,0.8600003,0.3530151,79.67004,149.92996,1
1.9580002,0.14999999,0.34,3.2700002,0.07,-0.07,12.44,49.986,1
2.0,0.92,7.75,18.16,3.782,0.20825991,2.343,50.0,1
-0.07,2.5399997,0.9200003,2.8300004,0.07,-0.042,3.4819996,7.0699997,1
0.0,58.28,58.28,2.47,0.915,0.37044534,41.367,22.0,1
1.0559998,1.0759997,1.02,4.9100003,0.7600003,0.5499997,4.9519997,6.9300003,1
2.0,0.42,0.41,1.54,0.7442,0.48324674,-41.985,50.0,1
2.0,0.15,0.15,6.71,0.0,0.0,68.001,50.0,1
0.9299997,7.2900004,3.1399996,8.324,9.313226e-10,-0.07,2.7769997,7.0699997,1
1.9300003,0.32,0.32,3.0589998,1.4428003,0.25248492,21.186,49.93,1
-0.07,0.9599999,0.52000004,4.3,1.3387997,0.22034326,4.1730003,50.07,1
1.0,4.17,4.17,8.58,0.0,0.0,-6.472,7.0,1
2.0419998,1.0140003,0.52000004,51.412,-0.07,-0.07,48.079,50.0,1
1.9300003,0.21000001,0.20000002,2.1309998,3.3216002,0.42329165,35.528,49.93,1
1.9300003,1.0699997,0.38,28.57,5.1394005,0.112785965,28.57,50.07,1
0.9299997,147.94997,68.740036,0.07,-0.07,-0.07,0.07,7.0699997,1
1.9300003,0.9200003,0.9200003,29.93,0.53000015,0.113000005,35.364,49.972,1
1.9720001,0.94400007,1.0100002,24.588,4.9234004,0.13159968,26.272,49.958,1
1.9300003,1.0000002,1.0000002,25.56,0.14999999,0.1127858,27.629,49.93,1
2.0699997,1.0520002,1.1079999,14.455999,4.76,0.22999999,27.407,49.93,1
-0.07,2.8999996,0.8300003,15.490001,3.3761997,0.14248073,5.5299997,22.07,1
