connectorType,durationSession,durationCharge,energy,cost,tariff,meanPower,maxPower,anomaly
2.0,0.37,0.37,15.396,33.24,0.0,41.611,50.0,1
2.0,1.0999994,0.68,33.02001,5.9734015,0.093128935,32.87199,49.91001,1
1.0,0.95000005,2.5399995,9.439999,-0.09,0.0,3.4649994,7.0899982,1
2.0,1.0539997,1.0819995,24.909992,8.178598,0.23354396,24.842009,49.91001,1
1.0,37.84001,9.719998,6.479998,0.09,0.0,0.754,7.0899982,1
2.0,0.57,0.56,16.69,3.5136,0.21052127,61.076,50.0,1
2.0,0.82,0.81,34.53,6.7832,0.19644368,63.429,50.0,1
2.0,0.9,0.9,8.07,0.0,0.0,-11.905,50.0,1
2.0,0.36000004,0.36000004,65.76498,7.0899982,0.64,35.42501,49.91001,1
2.0,0.09,-0.018,7.190002,1.7034006,0.15634613,-0.09,50.08999,1
2.0,0.59,0.59,0.97800004,-0.072,0.035999995,7.7600017,50.0,1
2.0,1.1120001,1.2299994,28.929993,9.3208,0.26718536,25.546007,49.91001,1
1.0,46.709988,46.53001,0.09,0.09,0.29999995,-0.09,7.0,1
1.0,3.18,14.08,9.18,0.0,0.0,2.887,7.0,1
2.0,0.43400002,0.48000002,5.6580014,0.09,0.0,14.763999,49.946007,1
2.0,1.0,4.48,18.14,12.7,0.7,18.14,50.0,1
1.0,4.45,13.43,3.244,0.0,0.0,0.729,7.0,1
2.0,0.59,0.59,25.110008,-0.09,0.0,57.726013,50.08999,1
1.0,79.97997,16.789991,25.410007,0.09,0.0,1.4100006,7.0899982,1
0.0,121.529976,43.040012,12.329998,2.7984006,0.31127453,0.19399998,22.090008,1
0.0,2.8400006,2.6599994,17.720007,3.7744007,0.17298467,11.389002,7.0899982,1
1.0,20.590008,20.409992,17.089993,0.09,0.0,-1.5140005,7.0,1
2.0,0.58,0.58,12.71,2.3302,0.18333596,57.207,50.0,1
2.0,0.36000004,0.34200004,7.6500015,0.12000002,0.09284234,28.757008,49.92801,1
1.0,1.9300003,1.0599997,5.9960017,1.2499994,0.099999964,3.1030006,7.0899982,1
1.0,7.440002,7.440002,19.000008,20.789991,0.09,2.4209993,7.0899982,1
2.0,0.92,0.23999998,11.9349985,2.0599995,0.27000004,35.804012,49.946007,1
2.0,0.46000004,1.6000006,6.6999984,2.3865993,0.46467477,17.774992,49.91001,1
2.0,0.96000004,0.826,11.870002,2.5573993,0.13135448,13.680998,50.08999,1
2.0,0.71000004,1.9000006,32.799988,5.936201,0.093130514,16.527008,49.91001,1
2.0,-0.053999994,0.027999999,-0.061999995,-0.09,0.0,0.90999997,50.08999,1
1.0,16.390007,16.209991,15.569998,32.060013,0.09,1.0399997,7.0899982,1
0.0,1.5299995,1.3500006,10.769999,2.042,0.23677155,7.3270016,7.0899982,1
2.0,0.52,0.52,13.14,12.88,0.98,-9.992,50.0,1
1.0,292.5,66.42,0.09,0.01,0.13,0.001,7.0,1
1.0,4.21,8.52,16.879,18.06,1.07,1.981,22.0,1
0.0,3.0899994,3.2800007,18.605995,3.7895994,0.11790994,5.939998,7.0,1
0.0,1.98,7.27,4.45,1.281,0.28786516,1.243,7.0,1
2.0,0.2,0.2,9.58,0.0,0.0,-27.628,50.0,1
2.0,5.870002,2.1400006,5.0419984,0.09,0.09,2.3259993,50.08999,1
0.0,5.190002,5.379998,59.28001,-0.09,0.0,11.312998,22.090008,1
0.0,0.92,6.52,3.55,1.1102,0.3127324,0.544,22.0,1
1.0,7.28,28.65,4.95,3.66,0.74,0.68,7.0,1
2.0,0.78,0.78,28.427,4.64,0.16,-35.786,50.0,1
2.0,0.67,2.4599993,12.869998,2.8960006,0.30956185,4.922002,50.08999,1
0.0,17.93,17.92,21.27,4.3554,0.20476727,24.301,7.0,1
2.0,0.17000003,0.36200002,2.9199994,1.1025994,0.24641192,10.468998,49.91001,1
2.0,0.27999997,0.26999998,2.4800007,3.7407994,0.4373074,30.548992,50.08999,1
2.0,0.13000003,-0.013999999,0.24999997,0.110000014,1.5605888,8.589998,49.91001,1
2.0,0.38000003,0.38000003,9.750002,0.23000003,0.26211378,34.02099,49.91001,1
1.0,9.6640005,2.7900007,5.8800015,0.09,0.0,2.3010006,22.090008,1
2.0,0.74999994,0.13999997,7.129998,0.09,0.09,30.518991,49.91001,1
2.0,0.46000004,0.28000003,11.210002,1.9799997,0.089999974,30.631008,49.91001,1
2.0,0.17000003,0.16000003,12.097002,0.78540003,0.44906974,18.519009,49.91001,1
